,FieldGoalAttempts,FieldGoalsMade,OffensiveEfficency,TotalPoints
0,73.0,26.0,0.505882353,67.29336036392331
1,65.0,35.0,0.658227848,87.6016783919591
2,63.0,34.0,0.677419355,85.89516542853997
3,52.0,12.0,0.31147541,40.0146881624171
4,40.0,20.0,0.576923077,59.374246054968765
5,51.0,21.0,0.457142857,59.43270268685012
6,58.0,29.0,0.623188406,75.93103162788913
7,52.0,29.0,0.656716418,76.8462746840444
8,50.0,25.0,0.544117647,68.25233930332475
9,45.0,19.0,0.472222222,56.13610689509798
10,67.0,39.0,0.755813953,96.11347394642885
11,54.0,21.0,0.5,59.30129042897666
12,64.0,43.0,0.784090909,104.85588607287795
13,57.0,30.0,0.575342466,77.84666510777333
14,65.0,24.0,0.423076923,63.70513378230512
15,54.0,32.0,0.657534247,82.77316559983717
16,61.0,29.0,0.611111111,75.49905282224488
17,57.0,33.0,0.67032967,84.53272434921809
18,52.0,22.0,0.523809524,61.73094384162508
19,57.0,26.0,0.540229885,69.43275223425758
20,48.0,18.0,0.492307692,53.82465267340502
21,59.0,20.0,0.44,56.30772611430138
22,39.0,26.0,0.636363636,72.15413225403378
23,50.0,27.0,0.6,72.6689917470805
24,57.0,25.0,0.551282051,67.43777295407898
25,41.0,19.0,0.508196721,56.820802599228735
26,54.0,23.0,0.513888889,63.4881811610823
27,40.0,14.0,0.440677966,46.29610034947329
28,52.0,17.0,0.416666667,50.86747704074301
29,70.0,43.0,0.711111111,103.72478776174745
30,51.0,32.0,0.652777778,83.11304068119341
31,58.0,25.0,0.506329114,67.06985238356086
32,50.0,26.0,0.567164179,70.43388512198942
33,72.0,20.0,0.376470588,54.374568903587296
34,57.0,25.0,0.479452055,67.04476458428174
35,63.0,32.0,0.594202899,81.32895803757387
